"","Var1","Freq"
"1","Alachua",3
"2","Baker",1
"3","Bay",4
"4","Bradford",2
"5","Brevard",1
"6","Calhoun",1
"7","Charlotte",1
"8","Citrus",1
"9","Clay",1
"10","Collier",26
"11","Flagler",1
"12","Franklin",8
"13","Gadsden",4
"14","Glades",1
"15","Hendry",1
"16","Hernando",1
"17","Highlands",1
"18","Hillsborough",1
"19","Lake",22
"20","Leon",16
"21","Madison",1
"22","Marion",19
"23","Okaloosa",8
"24","Orange",12
"25","Pasco",1
"26","Putnam",2
"27","Santa Rosa",16
"28","Seminole",17
"29","Volusia",18
"30","Wakulla",3
"31","Washington",1
